Start Lat,Start Long,End Lat,End Long
33.99576,-84.16258,33.99554,-84.16264
33.99554,-84.16264,33.99538,-84.16266
33.99538,-84.16266,33.99513,-84.16269
33.99513,-84.16269,33.99502,-84.16269
33.99502,-84.16269,33.99495,-84.16269
33.99495,-84.16269,33.99448,-84.16267
33.99448,-84.16267,33.99427,-84.16263
33.99427,-84.16263,33.99412,-84.1626
33.99412,-84.1626,33.99399,-84.16256
33.99399,-84.16256,33.99369,-84.16245
33.99369,-84.16245,33.99342,-84.16231
33.99342,-84.16231,33.99294,-84.16202
33.99294,-84.16202,33.99231,-84.16158
33.99231,-84.16158,33.99199,-84.16136
33.99199,-84.16136,33.99162,-84.16113
33.99162,-84.16113,33.99133,-84.16102
33.99133,-84.16102,33.99109,-84.16098
33.99109,-84.16098,33.99087,-84.16096
33.99087,-84.16096,33.99061,-84.161
33.99061,-84.161,33.99037,-84.16107
33.99037,-84.16107,33.99003,-84.1612
33.99003,-84.1612,33.98981,-84.16126
33.98981,-84.16126,33.98959,-84.16131
33.98959,-84.16131,33.98937,-84.16134
33.98937,-84.16134,33.98916,-84.16136
33.98916,-84.16136,33.98896,-84.16136
33.98896,-84.16136,33.98875,-84.16135
33.98875,-84.16135,33.98859,-84.16133
33.98859,-84.16133,33.98839,-84.16128
33.98839,-84.16128,33.98812,-84.16118
33.98812,-84.16118,33.98783,-84.16106
33.98783,-84.16106,33.98763,-84.16096
33.98763,-84.16096,33.98737,-84.16078
33.98737,-84.16078,33.98683,-84.16042
33.98683,-84.16042,33.98677,-84.16038
33.98677,-84.16038,33.98651,-84.16018
33.98651,-84.16018,33.98642,-84.16012
33.98642,-84.16012,33.98631,-84.16004
33.98631,-84.16004,33.98598,-84.15979
33.98598,-84.15979,33.98575,-84.15962
33.98575,-84.15962,33.98561,-84.15952
33.98561,-84.15952,33.98535,-84.15932
33.98535,-84.15932,33.98508,-84.15913
33.98508,-84.15913,33.98488,-84.15899
33.98488,-84.15899,33.98439,-84.15866
33.98439,-84.15866,33.98418,-84.15851
33.98418,-84.15851,33.98391,-84.15832
33.98391,-84.15832,33.98364,-84.15813
33.98364,-84.15813,33.98347,-84.15801
33.98347,-84.15801,33.98299,-84.15767
33.98299,-84.15767,33.98266,-84.15744
33.98266,-84.15744,33.98235,-84.15723
33.98235,-84.15723,33.98208,-84.15706
33.98208,-84.15706,33.9817,-84.15681
33.9817,-84.15681,33.98113,-84.15645
33.98113,-84.15645,33.98074,-84.1562
33.98074,-84.1562,33.98051,-84.15607
33.98051,-84.15607,33.9798,-84.15565
33.9798,-84.15565,33.97963,-84.15555
33.97963,-84.15555,33.97944,-84.15543
33.97944,-84.15543,33.97929,-84.15533
33.97929,-84.15533,33.97912,-84.15521
33.97912,-84.15521,33.97871,-84.15493
33.97871,-84.15493,33.97819,-84.15462
33.97819,-84.15462,33.97805,-84.15453
33.97805,-84.15453,33.9778,-84.15437
33.9778,-84.15437,33.97703,-84.15389
33.97703,-84.15389,33.97647,-84.15354
33.97647,-84.15354,33.97549,-84.15292
33.97549,-84.15292,33.97503,-84.15259
33.97503,-84.15259,33.97464,-84.15227
33.97464,-84.15227,33.97414,-84.15183
33.97414,-84.15183,33.97397,-84.15166
33.97397,-84.15166,33.97389,-84.15158
33.97389,-84.15158,33.97364,-84.15134
33.97364,-84.15134,33.97343,-84.1511
33.97343,-84.1511,33.97328,-84.15094
33.97328,-84.15094,33.97308,-84.1507
33.97308,-84.1507,33.97266,-84.15019
33.97266,-84.15019,33.9725,-84.14994
33.9725,-84.14994,33.9723,-84.14966
33.9723,-84.14966,33.97211,-84.14942
33.97211,-84.14942,33.97153,-84.14865
33.97153,-84.14865,33.97095,-84.1479
33.97095,-84.1479,33.97068,-84.1476
33.97068,-84.1476,33.97039,-84.14724
33.97039,-84.14724,33.9702,-84.14701
33.9702,-84.14701,33.96985,-84.14661
33.96985,-84.14661,33.96968,-84.14641
33.96968,-84.14641,33.96944,-84.14612
33.96944,-84.14612,33.96929,-84.14594
33.96929,-84.14594,33.96862,-84.14515
33.96862,-84.14515,33.96839,-84.14487
33.96839,-84.14487,33.96802,-84.14444
33.96802,-84.14444,33.96789,-84.14429
33.96789,-84.14429,33.96769,-84.14405
33.96769,-84.14405,33.96762,-84.14396
33.96762,-84.14396,33.96738,-84.1437
33.96738,-84.1437,33.96707,-84.14337
33.96707,-84.14337,33.96682,-84.14311
33.96682,-84.14311,33.96673,-84.14302
33.96673,-84.14302,33.96667,-84.14295
33.96667,-84.14295,33.96642,-84.14269
33.96642,-84.14269,33.96636,-84.14262
33.96636,-84.14262,33.96628,-84.14247
33.96628,-84.14247,33.96622,-84.14234
33.96622,-84.14234,33.96641,-84.14244
33.96641,-84.14244,33.96651,-84.14254
33.96651,-84.14254,33.96665,-84.14268
33.96665,-84.14268,33.96685,-84.1429
33.96685,-84.1429,33.96714,-84.14321
33.96714,-84.14321,33.96737,-84.14346
33.96737,-84.14346,33.9676,-84.1437
33.9676,-84.1437,33.96763,-84.14374
33.96763,-84.14374,33.96767,-84.14378
33.96767,-84.14378,33.96771,-84.14383
33.96771,-84.14383,33.968,-84.14416
33.968,-84.14416,33.96829,-84.14448
33.96829,-84.14448,33.96851,-84.14471
33.96851,-84.14471,33.96874,-84.14497
33.96874,-84.14497,33.9692,-84.14551
33.9692,-84.14551,33.96926,-84.14558
33.96926,-84.14558,33.96946,-84.14581
33.96946,-84.14581,33.96981,-84.14624
33.96981,-84.14624,33.96996,-84.14643
33.96996,-84.14643,33.97048,-84.14707
33.97048,-84.14707,33.97079,-84.14745
33.97079,-84.14745,33.97115,-84.14792
33.97115,-84.14792,33.97167,-84.14862
33.97167,-84.14862,33.97181,-84.1488
33.97181,-84.1488,33.97239,-84.14956
33.97239,-84.14956,33.9729,-84.15021
33.9729,-84.15021,33.97328,-84.15069
33.97328,-84.15069,33.97352,-84.15096
33.97352,-84.15096,33.97378,-84.15125
33.97378,-84.15125,33.97398,-84.15144
33.97398,-84.15144,33.97417,-84.15163
33.97417,-84.15163,33.97475,-84.15213
33.97475,-84.15213,33.9751,-84.15242
33.9751,-84.15242,33.9756,-84.15277
33.9756,-84.15277,33.97577,-84.15289
33.97577,-84.15289,33.97652,-84.15336
33.97652,-84.15336,33.97714,-84.15376
33.97714,-84.15376,33.97781,-84.15418
33.97781,-84.15418,33.97808,-84.15434
33.97808,-84.15434,33.97825,-84.15445
33.97825,-84.15445,33.97878,-84.15478
33.97878,-84.15478,33.97897,-84.1549
33.97897,-84.1549,33.97915,-84.15501
33.97915,-84.15501,33.97936,-84.15514
33.97936,-84.15514,33.97973,-84.15537
33.97973,-84.15537,33.98018,-84.15567
33.98018,-84.15567,33.98126,-84.15636
